"","ACCSEQ1","ACCSEQ2","ALTVEH","ORIGAVTW","CASEID","CASENO","DIRDAMW","DOCCDC","DVC1","DVC2","DVC3","DVC4","DVC5","DVC6","DVD","DVL","DOF1","DOF2","UNDENDW","EXTENT1","EXTENT2","FUELCAP1","FUELCAP2","FUELPRE1","FUELPRE2","FIRE","FIREORIG","FUELDAM1","FUELDAM2","GAD1","GAD2","FUELLOC1","FUELLOC2","FUELTNK1","FUELTNK2","FUELTYP1","FUELTYP2","FUELEAK1","FUELEAK2","FUELGT2","OBJCONT1","OBJCONT2","PDOF1","PDOF2","PSU","RATWGT","SDVC1","SDVC2","SDVC3","SDVC4","SDVC5","SDVC6","SDVD","SDVL","SHL1","SHL2","STRATIF","SVL1","SVL2","TDD1","TDD2","TOWRES","VEHNO","WHEELBAS","VERSION"
"5130",1,NA,0,147,"160D",160,90,0,11,2,0,0,0,8,-30,160,10,NA,160,1,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,290,NA,74,23.057,NA,NA,NA,NA,NA,NA,NA,NA,"Y","","D","E","","W","",0,1,266,23
"5131",1,2,0,152,"160D",160,222,0,3,11,11,11,4,2,-10,204,1,0,998,1,2,NA,NA,NA,0,0,0,1,NA,"R","T",NA,NA,NA,NA,1,NA,1,NA,NA,1,31,20,998,74,23.057,NA,NA,NA,NA,NA,NA,NA,NA,"P","D","D","E","D","W","O",1,2,265,23
"5132",1,NA,0,151,"161F",161,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,998,NA,NA,NA,NA,NA,0,0,0,1,NA,"9","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,NA,NA,74,238.386,NA,NA,NA,NA,NA,NA,NA,NA,"9","","F","9","","9","",0,1,270,23
"5133",2,1,0,153,"161F",161,36,0,NA,NA,NA,NA,NA,NA,NA,NA,12,12,142,1,5,NA,NA,NA,0,0,0,1,NA,"F","F",NA,NA,NA,NA,1,NA,1,NA,NA,3,1,0,0,74,238.386,NA,NA,NA,NA,NA,NA,NA,NA,"L","R","F","E","E","E","S",0,2,274,23
"5134",2,NA,0,147,"161F",161,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,998,1,NA,NA,NA,NA,0,0,0,1,NA,"L","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,300,NA,74,238.386,NA,NA,NA,NA,NA,NA,NA,NA,"B","","F","E","","W","",1,3,240,23
"5135",1,NA,0,149,"162G",162,165,0,0,1,2,3,8,0,75,161,7,NA,998,1,NA,NA,NA,NA,NA,0,0,1,1,"L","",NA,NA,NA,NA,1,15,1,1,NA,1,NA,220,NA,74,287.244,NA,NA,NA,NA,NA,NA,NA,NA,"Y","","G","E","","W","",1,2,270,23
"5136",4,2,0,158,"163D",163,44,1,0,12,41,59,76,65,52,148,12,12,148,4,NA,NA,NA,NA,0,0,0,1,NA,"F","F",NA,NA,NA,NA,1,NA,1,NA,NA,52,51,0,0,74,12.948,NA,NA,NA,NA,NA,NA,NA,NA,"R","9","D","E","9","W","9",1,1,276,23
"5137",1,2,0,148,"165G",165,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,12,12,140,5,2,NA,NA,NA,0,0,0,1,NA,"F","R",NA,NA,NA,NA,1,NA,1,NA,NA,48,48,0,10,74,161.298,NA,NA,NA,NA,NA,NA,NA,NA,"R","P","G","E","A","E","S",1,1,262,23
"5138",1,NA,0,153,"166H",166,83,0,9,8,6,5,4,3,-17,154,5,NA,154,1,NA,NA,NA,NA,NA,0,0,1,1,"B","",NA,NA,NA,NA,1,7,1,1,NA,2,NA,150,NA,74,374.295,NA,NA,NA,NA,NA,NA,NA,NA,"Y","","H","E","","W","",0,1,284,23
"5139",2,1,0,158,"166H",166,52,0,0,0,2,5,7,10,59,170,12,2,170,1,1,NA,NA,NA,0,0,0,1,NA,"F","R",NA,NA,NA,NA,1,NA,1,NA,NA,52,1,0,60,74,374.295,1,2,3,4,3,2,-87,82,"R","Z","H","E","E","W","W",1,2,271,23
"5140",1,NA,0,150,"167B",167,42,0,47,33,25,16,8,0,-54,150,12,NA,150,9,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,0,NA,74,8.754,NA,NA,NA,NA,NA,NA,NA,NA,"L","","B","A","","A","",1,1,271,23
"5141",2,1,0,155,"169K",169,183,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,998,4,1,NA,NA,NA,0,0,0,1,NA,"T","F",NA,NA,NA,NA,1,NA,1,NA,NA,31,58,998,998,74,8.868,NA,NA,NA,NA,NA,NA,NA,NA,"D","L","K","D","L","O","9",1,1,289,23
