"","VERSION","TEXT71","PSU","CASENO","STRATIF","LINENO","CASEID"
"12826",25,"forward.  The front of V2 struck the back of V3.",75,98,"G",2," 98G"
"12827",25,"V1 was traveling northbound approaching an intersection.  V2 was stopped ahead",75,99,"H",1," 99H"
"12828",25,"of V1 in the same lane.  The front of V1 struck the back of V2.",75,99,"H",2," 99H"
"12829",25,"V1 was eastbound in lane 3 approaching an interchange. A non-contact vehicle",75,100,"F",1,"100F"
"12830",25,"entered the highway and moved across lane 1 and 2 and into lane 3. V1 moved to",75,100,"F",2,"100F"
"12831",25,"the left to avoid the vehicle.  V1 traveled off the left side of the road.  The",75,100,"F",3,"100F"
"12832",25,"front of V1 struck the center concrete barrierr.  V1 turned back towards the",75,100,"F",4,"100F"
"12833",25,"highway and the left side of V1 contacted the center barrier again.",75,100,"F",5,"100F"
"12834",25,"V1 was southbound.  V1 traveled off the right side of the road and went airborne",75,101,"D",1,"101D"
"12835",25,"over a downhill grass embankment.  V1 landed on the grass and started to yaw to",75,101,"D",2,"101D"
"12836",25,"the right.  V1 rolled seven quarter-turns to the right and came to rest on its",75,101,"D",3,"101D"
"12837",25,"left side.",75,101,"D",4,"101D"
"12838",25,"V1 and V2 were traveling westbound approaching an intersection.  V1 was",75,102,"F",1,"102F"
"12839",25,"traveling straight.  V2 was slowing down.  The front of V1 struck and back of",75,102,"F",2,"102F"
"12840",25,"V2.  As V1 and V2 moved to final rest, the left side of V1 sideswiped the back",75,102,"F",3,"102F"
"12841",25,"right corner of V2.",75,102,"F",4,"102F"
"12842",25,"V1 was westbound approaching an intersection.  V2 was northbound approaching the",75,103,"G",1,"103G"
"12843",25,"same intersection.  V3 was stopped faciing southbound at the same intersection.",75,103,"G",2,"103G"
"12844",25,"V1 went straight at the intersection.  V2 turned lelft.  The front of V2",75,103,"G",3,"103G"
"12845",25,"struck the left side of V1.  After this impact, both vehicles rotated and the",75,103,"G",4,"103G"
"12846",25,"left side of V1 struck the right side of V2.  V1 then traveled northwest. The",75,103,"G",5,"103G"
"12847",25,"front of V1 struck the left front wheel of V3.  After this impact, V1 continued",75,103,"G",6,"103G"
"12848",25,"to travel northwest.  V1's left front wheel struck the curb.",75,103,"G",7,"103G"
"12849",25,"V1 was westtbound approaching an intersection.  V2 was eastbound stopped at the",75,104,"A",1,"104A"
"12850",25,"same intersection.  V1 turned left at the intersection.  V2 entered the",75,104,"A",2,"104A"
"12851",25,"intersection going straight.  The front of V1 struck the front of V2.",75,104,"A",3,"104A"
"12852",25,"V1 was northbound.  V2 was southbound.  V1 turned left across the southbound",75,105,"D",1,"105D"
"12853",25,"lanes to enter a driveway.  The front of V1 struck the front of V2.",75,105,"D",2,"105D"
"12854",25,"V1 was eastbound approaching an intersection.  V2 was southbound approaching",75,106,"D",1,"106D"
"12855",25,"the same intersection.  V3 was stopped at the intersection facing northbound",75,106,"D",2,"106D"
"12856",25,"waiting to turn left.  V1 and V2 both entered the intersection going straight.",75,106,"D",3,"106D"
"12857",25,"The front of V2 struck the left side of V1.  After this impact, V1 traveled",75,106,"D",4,"106D"
"12858",25,"southest and struck the front of V3 with its front.",75,106,"D",5,"106D"
"12859",25,"V1 was southbound approaching an intersection.  V2 was eastbound approaching the",75,107,"E",1,"107E"
"12860",25,"same intersection.  V1 entered the intersection going straight.  V2 entered the",75,107,"E",2,"107E"
"12861",25,"intersection intending to turn left.  The front of V1 struck the left side of",75,107,"E",3,"107E"
"12862",25,"V2.",75,107,"E",4,"107E"
"12863",25,"V1 and V2 were traveling northbound approaching a driveway.  A fire truck with",75,108,"H",1,"108H"
"12864",25,"light and sirens was southbound turning left in front of northbound traffic.  V2",75,108,"H",2,"108H"
"12865",25,"stopped.  The front of V1 struck the back of V2.",75,108,"H",3,"108H"
"12866",25,"V1 was southbound.  V1 traveled off the right side of the highway. V1 became",75,109,"D",1,"109D"
"12867",25,"airborne over a culvert and then the front of V1 struck an embankment.  V1 then",75,109,"D",2,"109D"
"12868",25,"continued traveling off road until it struck a culvert with its undercarriage.",75,109,"D",3,"109D"
"12869",25,"V1 became airborne over a driveway and it then struck another embankment with",75,109,"D",4,"109D"
"12870",25,"its front.  After this impact, V1 rolled two quarter turns to the left and came",75,109,"D",5,"109D"
"12871",25,"to rest on its roof.",75,109,"D",6,"109D"
"12872",25,"V1 and V2 were traveling northbound approaching an intersection.  V1 was",75,110,"F",1,"110F"
"12873",25,"traveling straight.  V2 was stopped.  The front of V1 struck and back of V2.",75,110,"F",2,"110F"
"12874",25,"V1 was southbound approaching an intersection to turn left.  V2 was northbound",75,111,"G",1,"111G"
"12875",25,"approaching the same intersection.  As V1 turned left, the front of V1 struck",75,111,"G",2,"111G"
"12876",25,"the front of V2.",75,111,"G",3,"111G"
"12877",25,"V1 and V2 were southbound.  The front of V1 struck the back of V2.",75,112,"H",1,"112H"
"12878",25,"Vehicle #1 was traveling south and Vehicle #2 was traveling north.  V1 entered",75,113,"B",1,"113B"
"12879",25,"the northbound lanes in a counter-clockwise yaw and the front of V2 contacted",75,113,"B",2,"113B"
"12880",25,"the right side of V1.  After this impact, both vehicles departed the east side",75,113,"B",3,"113B"
"12881",25,"of the road.  V1 came to rest in the grass by the side of the road.  V2 rolled",75,113,"B",4,"113B"
"12882",25,"over to the left two quarter-turns.",75,113,"B",5,"113B"
"12883",25,"Vehicle #1 was eastbound on an exit ramp.  V1 departed the road to the left and",75,114,"B",1,"114B"
"12884",25,"the front of V1 struck a guardrail-end. After this impact, V1 rolled over to the",75,114,"B",2,"114B"
"12885",25,"left three quarter turns and then the undercarriage contacted a bridge",75,114,"B",3,"114B"
"12886",25,"abutment.  V1 rotated off the abutment,  and rolled an additional quarter-turn",75,114,"B",4,"114B"
"12887",25,"back onto the wheels. During the rollover, O6 was partially ejected from the",75,114,"B",5,"114B"
"12888",25,"vehicle.",75,114,"B",6,"114B"
"12889",25,"Vehicle #1 was southbound, traveled into the northbound lane and then departed",75,115,"K",1,"115K"
"12890",25,"the road to the left onto a raised traffic island.  The front of V1 struck a",75,115,"K",2,"115K"
"12891",25,"traffic light pole.",75,115,"K",3,"115K"
"12892",25,"V1 was northbound in lane 4.  V2 was stopped facing northbound in lane 5.  V1",75,116,"F",1,"116F"
"12893",25,"moved into lane 5.  The front of V1 struck the back of V2.",75,116,"F",2,"116F"
"12894",25,"V1 was traveling westbound on a right curve.  V1 traveled into the eastbound",75,117,"H",1,"117H"
"12895",25,"lane.  V1 started to rotate clockwise and then traveled off the left side of the",75,117,"H",2,"117H"
"12896",25,"road.  V1 struck a guardrail face with its front right side.  V1 still",75,117,"H",3,"117H"
