"","ACCSEQ1","ACCSEQ2","ALTVEH","ORIGAVTW","CASEID","CASENO","DIRDAMW","DOCCDC","DVC1","DVC2","DVC3","DVC4","DVC5","DVC6","DVD","DVL","DOF1","DOF2","UNDENDW","EXTENT1","EXTENT2","FUELCAP1","FUELCAP2","FUELPRE1","FUELPRE2","FIRE","FIREORIG","FUELDAM1","FUELDAM2","GAD1","GAD2","FUELLOC1","FUELLOC2","FUELTNK1","FUELTNK2","FUELTYP1","FUELTYP2","FUELEAK1","FUELEAK2","FUELGT2","OBJCONT1","OBJCONT2","PDOF1","PDOF2","PSU","RATWGT","SDVC1","SDVC2","SDVC3","SDVC4","SDVC5","SDVC6","SDVD","SDVL","SHL1","SHL2","STRATIF","SVL1","SVL2","TDD1","TDD2","VEHNO","WHEELBAS","VERSION"
"3084",1,2,0,176,"162E",162,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,10,9,998,3,1,NA,NA,NA,0,0,0,1,NA,"L","L",NA,NA,NA,NA,17,NA,1,NA,NA,1,1,300,270,78,248.652,NA,NA,NA,NA,NA,NA,NA,NA,"Y","B","E","E","E","W","W",2,320,25
"3085",1,NA,0,154,"163H",163,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,3,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,63,NA,0,NA,78,1387.878,NA,NA,NA,NA,NA,NA,NA,NA,"R","","H","W","","N","",1,270,25
"3086",1,NA,0,173,"164B",164,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,998,NA,NA,NA,NA,NA,0,0,0,1,NA,"T","",NA,NA,NA,NA,2,NA,1,NA,NA,31,NA,998,NA,78,149.346,NA,NA,NA,NA,NA,NA,NA,NA,"9","","B","9","","O","",1,357,25
"3087",3,1,0,153,"166J",166,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,998,4,1,NA,NA,NA,0,0,0,1,NA,"T","F",NA,NA,NA,NA,1,NA,1,NA,NA,31,45,998,NA,78,48.317,NA,NA,NA,NA,NA,NA,NA,NA,"D","D","J","D","E","O","W",1,275,25
"3088",1,2,0,NA,"167F",167,223,0,26,16,20,6,0,0,-88,204,2,9,998,3,1,NA,NA,NA,0,0,0,1,NA,"R","L",NA,NA,NA,NA,2,NA,1,NA,NA,2,3,60,270,78,525.54,NA,NA,NA,NA,NA,NA,NA,NA,"Z","B","F","E","E","W","W",1,438,25
"3089",1,NA,0,167,"168H",168,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,5,NA,NA,NA,NA,0,0,0,NA,NA,"F","",NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,0,NA,78,1279.024,NA,NA,NA,NA,NA,NA,NA,NA,"R","","H","E","","E","",1,364,25
"3090",1,NA,0,150,"169K",169,119,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,998,3,NA,NA,NA,NA,0,0,0,1,NA,"L","",NA,NA,NA,NA,1,NA,1,NA,NA,31,NA,998,NA,78,56.614,NA,NA,NA,NA,NA,NA,NA,NA,"D","","K","A","","O","",1,272,25
"3091",1,NA,0,155,"170E",170,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,20,NA,78,277.905,NA,NA,NA,NA,NA,NA,NA,NA,"Z","","E","E","","W","",1,272,25
"3092",1,NA,0,170,"170E",170,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,998,NA,NA,NA,NA,NA,NA,0,0,1,1,"L","",NA,NA,NA,NA,1,17,1,1,NA,1,NA,NA,NA,78,277.905,NA,NA,NA,NA,NA,NA,NA,NA,"9","","E","9","","9","",2,367,25
"3093",1,NA,0,146,"172F",172,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,148,NA,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,0,NA,78,290.724,NA,NA,NA,NA,NA,NA,NA,NA,"D","","F","E","","W","",1,246,25
