"","ACCSEQ1","ACCSEQ2","ALTVEH","ORIGAVTW","CASEID","CASENO","DIRDAMW","DOCCDC","DVC1","DVC2","DVC3","DVC4","DVC5","DVC6","DVD","DVL","DOF1","DOF2","UNDENDW","EXTENT1","EXTENT2","FUELCAP1","FUELCAP2","FIRE","FIREORIG","FUELDAM1","FUELDAM2","GAD1","GAD2","FUELLOC1","FUELLOC2","FUELTNK1","FUELTNK2","FUELTYP1","FUELTYP2","FUELEAK1","FUELEAK2","FUELGT2","OBJCONT1","OBJCONT2","PDOF1","PDOF2","PSU","RATWGT","SDVC1","SDVC2","SDVC3","SDVC4","SDVC5","SDVC6","SDVD","SDVL","SHL1","SHL2","STRATIF","SVL1","SVL2","TDD1","TDD2","TOWRES","VEHNO","WHEELBAS","VERSION"
"1899",1,NA,0,155,"110F",110,62,0,0,0,0,0,2,3,46,153,6,NA,153,1,NA,NA,NA,0,0,1,NA,"B","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,190,NA,12,146.107,NA,NA,NA,NA,NA,NA,NA,NA,"Z","","F","E","","W","",0,1,271,20
"1900",1,2,0,149,"110F",110,30,0,36,26,10,4,1,0,-60,150,12,12,150,4,4,NA,NA,0,0,1,NA,"F","U",NA,NA,NA,NA,1,NA,1,NA,NA,1,60,0,0,12,146.107,NA,NA,NA,NA,NA,NA,NA,NA,"L","F","F","E","D","E","W",1,2,272,20
"1901",1,2,0,149,"111G",111,250,1,4,10,2,3,5,0,-21,404,0,0,998,2,1,NA,NA,0,0,1,NA,"L","F",NA,NA,NA,NA,1,NA,1,NA,NA,60,60,998,998,12,340.605,0,1,1,1,1,1,42,142,"D","R","G","A","E","W","W",0,1,262,20
"1902",1,NA,0,161,"112H",112,38,0,24,13,2,1,4,4,-71,180,12,NA,180,2,NA,NA,NA,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,0,NA,12,374.541,NA,NA,NA,NA,NA,NA,NA,NA,"L","","H","E","","E","",1,1,353,20
"1903",1,NA,0,153,"113D",113,87,0,2,13,25,38,27,18,35,156,11,NA,156,2,NA,NA,NA,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,340,NA,12,78.492,NA,NA,NA,NA,NA,NA,NA,NA,"Z","","D","E","","W","",1,2,285,20
"1904",1,NA,0,154,"114E",114,122,0,3,2,5,5,5,5,-4,140,71,NA,140,1,NA,NA,NA,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,330,NA,12,108.396,NA,NA,NA,NA,NA,NA,NA,NA,"D","","E","E","","W","",1,1,285,20
"1905",1,2,0,157,"114E",114,149,0,0,12,29,32,10,0,-35,245,62,8,998,3,2,NA,NA,0,0,1,NA,"R","L",NA,NA,NA,NA,1,NA,1,NA,NA,1,51,60,250,12,108.396,8,22,21,6,0,0,-199,193,"P","B","E","E","E","W","W",1,2,281,20
"1906",2,1,0,151,"115F",115,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,12,12,150,2,NA,NA,NA,0,0,1,NA,"F","F",NA,NA,NA,NA,1,NA,1,NA,NA,42,51,0,0,12,217.111,4,17,26,40,23,12,37,150,"C","Z","F","E","E","N","N",NA,1,273,20
"1907",2,1,0,153,"116H",116,158,0,21,15,11,10,9,11,0,158,12,12,158,1,1,NA,NA,0,0,1,NA,"F","R",NA,NA,NA,NA,1,NA,1,NA,NA,60,88,0,10,12,556.559,NA,NA,NA,NA,NA,NA,NA,NA,"D","P","H","L","E","W","S",0,1,281,20
"1908",2,1,0,155,"117E",117,7,1,NA,NA,NA,NA,NA,NA,NA,NA,12,12,144,5,1,NA,NA,0,0,1,NA,"F","F",NA,NA,NA,NA,1,NA,1,NA,NA,52,41,350,0,12,85.162,0,2,5,6,1,0,15,144,"L","Z","E","E","E","S","W",1,1,271,20
